"key"	"value"	"number"
"male"	"77.84 years"	219
"female"	"83.51 years (2021 est.)"	219
"region"	"Tuvalu"	220
"total population"	"68.07 years"	220
"male"	"65.67 years"	220
"female"	"70.59 years (2021 est.)"	220
"region"	"Uganda"	221
"total population"	"68.58 years"	221
"male"	"66.34 years"	221
"female"	"70.9 years (2021 est.)"	221
"region"	"Ukraine"	222
"total population"	"73.18 years"	222
"male"	"68.51 years"	222
"female"	"78.15 years (2021 est.)"	222
"region"	"United Arab Emirates"	223
"total population"	"79.37 years"	223
"male"	"78.04 years"	223
"female"	"80.78 years (2021 est.)"	223
"region"	"United Kingdom"	224
"total population"	"81.3 years"	224
"male"	"79.02 years"	224
"female"	"83.7 years (2021 est.)"	224
"region"	"United States"	225
"total population"	"80.43 years"	225
"male"	"78.18 years"	225
"female"	"82.65 years (2021 est.)"	225
"region"	"Uruguay"	226
"total population"	"78.19 years"	226
"male"	"75.06 years"	226
"female"	"81.42 years (2021 est.)"	226
"region"	"Uzbekistan"	227
"total population"	"75.03 years"	227
"male"	"71.98 years"	227
"female"	"78.25 years (2021 est.)"	227
"region"	"Vanuatu"	228
"total population"	"74.87 years"	228
"male"	"73.18 years"	228
"female"	"76.66 years (2021 est.)"	228
"region"	"Venezuela"	229
"total population"	"72.22 years"	229
"male"	"68.9 years"	229
"female"	"75.7 years (2021 est.)"	229
"region"	"Vietnam"	230
"total population"	"75.25 years"	230
"male"	"72.67 years"	230
"female"	"78.12 years (2021 est.)"	230
"region"	"Virgin Islands"	231
"total population"	"80.05 years"	231
"male"	"76.84 years"	231
"female"	"83.45 years (2021 est.)"	231
"region"	"Wallis and Futuna"	232
"total population"	"80.45 years"	232
"male"	"77.44 years"	232
"female"	"83.61 years (2021 est.)"	232
"region"	"West Bank"	233
"total population"	"76.12 years"	233
"male"	"74.02 years"	233
"female"	"78.36 years (2021 est.)"	233
"region"	"World"	234
"total population"	"70.5 years"	234
"male"	"68.4 years"	234
"female"	"72.6 years (2020 est.)"	234
"region"	"Yemen"	235
"total population"	"67.18 years"	235
"male"	"64.89 years"	235
"female"	"69.59 years (2021 est.)"	235
"region"	"Zambia"	236
"total population"	"65.92 years"	236
"male"	"64.15 years"	236
"female"	"67.75 years (2021 est.)"	236
"region"	"Zimbabwe"	237
"total population"	"62.83 years"	237
"male"	"60.7 years"	237
"female"	"65.02 years (2021 est.)"	237
