"key"	"value"
"agriculture"	"9.1% (2017 est.)"
"industry"	"56.7% (2017 est.)"
"services"	"34.4% (2017 est.)"
"region"	"Togo"
"agriculture"	"28.8% (2017 est.)"
"industry"	"21.8% (2017 est.)"
"services"	"49.8% (2017 est.)"
"region"	"Tokelau"
"agriculture"	"NA"
"industry"	"NA"
"services"	"NA"
"region"	"Tonga"
"agriculture"	"19.9% (2017 est.)"
"industry"	"20.3% (2017 est.)"
"services"	"59.8% (2017 est.)"
"region"	"Trinidad and Tobago"
"agriculture"	"0.4% (2017 est.)"
"industry"	"47.8% (2017 est.)"
"services"	"51.7% (2017 est.)"
"region"	"Tunisia"
"agriculture"	"10.1% (2017 est.)"
"industry"	"26.2% (2017 est.)"
"services"	"63.8% (2017 est.)"
"region"	"Turkey"
"agriculture"	"6.8% (2017 est.)"
"industry"	"32.3% (2017 est.)"
"services"	"60.7% (2017 est.)"
"region"	"Turkmenistan"
"agriculture"	"7.5% (2017 est.)"
"industry"	"44.9% (2017 est.)"
"services"	"47.7% (2017 est.)"
"region"	"Turks and Caicos Islands"
"agriculture"	"0.5% (2017 est.)"
"industry"	"8.9% (2017 est.)"
"services"	"90.6% (2017 est.)"
"region"	"Tuvalu"
"agriculture"	"24.5% (2012 est.)"
"industry"	"5.6% (2012 est.)"
"services"	"70% (2012 est.)"
"region"	"Uganda"
"agriculture"	"28.2% (2017 est.)"
"industry"	"21.1% (2017 est.)"
"services"	"50.7% (2017 est.)"
"region"	"Ukraine"
"agriculture"	"12.2% (2017 est.)"
"industry"	"28.6% (2017 est.)"
"services"	"60% (2017 est.)"
"region"	"United Arab Emirates"
"agriculture"	"0.9% (2017 est.)"
"industry"	"49.8% (2017 est.)"
"services"	"49.2% (2017 est.)"
"region"	"United Kingdom"
"agriculture"	"0.7% (2017 est.)"
"industry"	"20.2% (2017 est.)"
"services"	"79.2% (2017 est.)"
"region"	"United States"
"agriculture"	"0.9% (2017 est.)"
"industry"	"19.1% (2017 est.)"
"services"	"80% (2017 est.)"
"region"	"Uruguay"
"agriculture"	"6.2% (2017 est.)"
"industry"	"24.1% (2017 est.)"
"services"	"69.7% (2017 est.)"
"region"	"Uzbekistan"
"agriculture"	"17.9% (2017 est.)"
"industry"	"33.7% (2017 est.)"
"services"	"48.5% (2017 est.)"
"region"	"Vanuatu"
"agriculture"	"27.3% (2017 est.)"
"industry"	"11.8% (2017 est.)"
"services"	"60.8% (2017 est.)"
"region"	"Venezuela"
"agriculture"	"4.7% (2017 est.)"
"industry"	"40.4% (2017 est.)"
"services"	"54.9% (2017 est.)"
"region"	"Vietnam"
"agriculture"	"15.3% (2017 est.)"
"industry"	"33.3% (2017 est.)"
"services"	"51.3% (2017 est.)"
"region"	"Virgin Islands"
"agriculture"	"2% (2012 est.)"
"industry"	"20% (2012 est.)"
"services"	"78% (2012 est.)"
"region"	"Wallis and Futuna"
"agriculture"	"NA"
"industry"	"NA"
"services"	"NA"
"region"	"West Bank"
"agriculture"	"2.9% (2017 est.)"
"industry"	"19.5% (2017 est.)"
"services"	"77.6% (2017 est.)"
"note"	"excludes Gaza Strip"
"region"	"World"
"agriculture"	"6.4% (2017 est.)"
"industry"	"30% (2017 est.)"
"services"	"63% (2017 est.)"
"region"	"Yemen"
"agriculture"	"20.3% (2017 est.)"
"industry"	"11.8% (2017 est.)"
"services"	"67.9% (2017 est.)"
"region"	"Zambia"
"agriculture"	"7.5% (2017 est.)"
"industry"	"35.3% (2017 est.)"
"services"	"57% (2017 est.)"
"region"	"Zimbabwe"
"agriculture"	"12% (2017 est.)"
"industry"	"22.2% (2017 est.)"
"services"	"65.8% (2017 est.)"
